result_index,erase_time,x,y,tx,ty,r,error_to_accepted
0,585.530000,6.06258,-0.79857,4.34017,-8.51591,-0.900336,7.77088
1,585.530000,3.66733,-1.83973,3.80182,-8.8347,-0.842215,6.64755
2,585.530000,3.4991,-2.14249,4.80662,-9.12015,-0.757771,7.87363
4,585.530000,2.51634,-1.9072,3.65318,-8.55631,-0.829197,6.18616
5,585.530000,7.87624,-1.24031,4.07181,-8.42572,-0.829868,8.74363
6,585.530000,7.34987,-1.20672,3.10114,-8.05597,-0.717007,8.63856
7,585.530000,5.17689,1.8201,2.61499,-8.52055,-0.775139,6.56245
8,585.530000,3.90146,2.12019,3.01555,-8.82027,-0.783571,6.09356
9,585.530000,3.88028,2.1587,4.22969,-8.50118,-0.79347,7.23847
10,585.530000,4.03068,1.86284,4.62951,-8.45142,-0.718706,7.92705
13,630.530000,3.22649,-2.0699,3.89103,-9.24212,-0.842419,6.49253
15,660.540000,2.06907,-2.04318,3.94354,-8.60446,-0.85173,6.22275
24,825.530000,7.24114,-1.42137,3.98567,-8.52684,-0.799972,8.59519
71,2930.530000,2.85731,0.724,-0.813605,14.6288,1.97451,28.3551
