result_index,generate_time,from_robot,to_robot,x,y,tx,ty,r,match_score,t_error,r_error
0,108.560000,/tb3_1,/tb3_2,-6.66487,-4.22575,6.7298,-9.88097,-1.38674,2.11991,6.0197,0.601736
1,118.670000,/tb3_1,/tb3_2,-6.65993,2.27648,2.03503,-9.06831,-0.886836,2.22011,1.0596,0.101836
2,118.710000,/tb3_1,/tb3_2,-7.09083,1.11654,3.26901,-8.6324,-0.8767,2.40768,0.392317,0.0916997
3,349.900000,/tb3_1,/tb3_2,-2.16995,3.542,3.5298,-8.72974,-0.840881,2.04778,0.135281,0.0558813
4,375.160000,/tb3_1,/tb3_2,2.65383,-1.61741,2.3183,-8.75757,-0.976553,2.13896,0.569262,0.191553
5,375.190000,/tb3_1,/tb3_2,2.5493,-1.7776,3.29157,-9.22803,-0.914998,2.29329,0.333796,0.129998
6,379.280000,/tb3_1,/tb3_2,3.69076,-1.54111,3.30195,-9.4622,-0.940851,2.3825,0.540691,0.155851
7,379.310000,/tb3_1,/tb3_2,3.58897,-1.76523,4.29139,-9.89761,-0.879296,2.02673,1.41856,0.0942956
8,420.140000,/tb3_1,/tb3_2,-2.1497,3.88456,3.95804,-8.13503,-0.830676,2.20736,0.613833,0.0456765
9,471.110000,/tb3_1,/tb3_2,-5.85869,3.91143,3.34429,-8.79407,-0.853267,2.69455,0.0956899,0.0682666
10,532.710000,/tb3_1,/tb3_2,-2.22041,2.14397,3.79696,-8.45943,-0.790807,2.11409,0.208125,0.00580689
11,538.650000,/tb3_1,/tb3_2,-3.82259,6.79165,2.56035,-8.92503,-0.757978,2.38731,1.40482,0.0270221
12,547.320000,/tb3_1,/tb3_2,-5.64742,1.44924,3.90293,-8.9051,-0.784313,2.25316,0.295621,0.000687319
13,553.290000,/tb3_1,/tb3_2,-5.73224,1.46035,2.92317,-8.32716,-0.832573,2.12658,0.741283,0.0475726
14,553.320000,/tb3_1,/tb3_2,-5.73224,1.46035,3.89107,-9.01047,-0.79687,2.12551,0.380794,0.0118699
15,558.630000,/tb3_1,/tb3_2,-5.72069,1.46272,2.31442,-8.85637,-0.989292,2.09091,0.454566,0.204292
16,559.250000,/tb3_1,/tb3_2,-5.72069,1.46272,3.45177,-9.22887,-0.879011,2.26374,0.37003,0.0940107
17,566.810000,/tb3_1,/tb3_2,-5.71828,1.46477,3.08345,-9.38589,-0.946406,2.12389,0.36815,0.161406
18,574.060000,/tb3_1,/tb3_2,-5.41303,1.4848,3.76325,-8.73503,-0.773745,2.07059,0.117233,0.0112549
19,632.270000,/tb3_1,/tb3_2,-0.922695,2.59559,2.6088,-8.414,-0.840775,2.09763,1.01381,0.0557751
20,634.660000,/tb3_1,/tb3_2,-5.80904,1.52403,2.84334,-8.75617,-0.894221,2.39623,0.375265,0.109221
21,635.340000,/tb3_1,/tb3_2,-5.80904,1.52403,2.99635,-8.39041,-0.819642,2.48722,0.675376,0.0346415
22,635.380000,/tb3_1,/tb3_2,-5.80904,1.52403,3.96645,-9.07106,-0.783939,2.31608,0.471531,0.00106119
23,642.020000,/tb3_1,/tb3_2,-7.01462,1.46985,3.53385,-8.7319,-0.759195,2.13559,0.406502,0.0258053
24,642.730000,/tb3_1,/tb3_2,-7.01462,1.46985,2.584,-9.86717,-0.822421,2.18513,1.41971,0.0374213
25,642.790000,/tb3_1,/tb3_2,-7.01462,1.46985,1.85698,-11.0562,-0.838122,2.05263,2.70018,0.0531217
26,649.520000,/tb3_1,/tb3_2,-8.55491,1.91042,3.91514,-8.17028,-0.793523,2.05479,0.574286,0.00852299
27,657.250000,/tb3_1,/tb3_2,-6.64828,1.41262,2.97555,-9.56004,-0.971898,2.19835,0.474385,0.186898
28,657.870000,/tb3_1,/tb3_2,-6.64828,1.41262,3.94608,-8.39257,-0.829282,2.56264,0.621414,0.0442824
29,657.920000,/tb3_1,/tb3_2,-6.64828,1.41262,4.18633,-9.8555,-0.861616,2.40987,1.28873,0.0766165
30,665.100000,/tb3_1,/tb3_2,-6.42128,1.45158,2.73015,-9.42754,-0.985786,2.01342,0.24692,0.200786
31,665.130000,/tb3_1,/tb3_2,-6.42128,1.45158,2.94794,-8.1312,-0.813435,2.2093,0.890302,0.0284354
32,665.670000,/tb3_1,/tb3_2,-6.42128,1.45158,2.93349,-9.06834,-0.911207,2.39067,0.0842023,0.126207
33,705.560000,/tb3_1,/tb3_2,-0.497762,5.01784,1.28111,-8.40171,-0.816765,2.1371,2.34629,0.0317646
34,716.050000,/tb3_1,/tb3_2,-0.450224,5.01544,1.18271,-8.32025,-0.834259,2.09677,2.3819,0.0492587
35,790.700000,/tb3_1,/tb3_2,3.14264,-2.17773,4.61246,-9.13049,-0.740328,2.0297,0.891328,0.044672
36,797.340000,/tb3_1,/tb3_2,2.1223,-1.46857,1.92035,-9.02976,-1.04385,2.20812,0.453979,0.25885
